,EquipoAnf,EquipoVis,ResulAnf,ResulVis,Fecha,Estadio,Ciudad,Arbitro,Provincia,tmed,prec
6376,Alavés,Osasuna,0,1,2017-04-05,Mendizorrotza,Vitoria,Estrada Fernández,ARABA/ALAVA,9.399999999999999,0.05
6377,Eibar,Las Palmas,3,1,2017-04-06,Estadio Municipal de Ipurua,Eibar,Iglesias Villanueva,GIPUZKOA,12.12,0.0
6378,Valencia,Celta de Vigo,3,2,2017-04-06,Camp de Mestalla,Valencia,Fernández Borbalán,VALENCIA,15.185714285714285,0.0
6379,Villarreal,Athletic Club,3,1,2017-04-07,Estadio de la Cerámica,Villarreal,Trujillo Suárez,CASTELLON,12.225000000000001,0.0
6380,Espanyol,Alavés,1,0,2017-04-08,Power8 Stadium,Cornellá de Llobregat,Melero López,BARCELONA,15.216666666666669,0.0
6381,Real Madrid,Atlético de Madrid,1,1,2017-04-08,Estadio Santiago Bernabeu,Madrid,De Burgos Bengoetxea,MADRID,13.491666666666665,0.0
6382,Málaga,Barcelona,2,0,2017-04-08,La Rosaleda,Málaga,Gil Manzano,MALAGA,16.0,0.0
6383,Sevilla,Deportivo de La Coruña,4,2,2017-04-08,Estadio Ramón Sánchez-Pizjuán,Sevilla,Jaime Latre,SEVILLA,15.379999999999999,0.0
6384,Granada,Valencia,1,3,2017-04-09,Estadio Nuevo Los Carmenes,Granada,Bikandi Garrido,GRANADA,14.800000000000002,0.0
6385,Las Palmas,Betis,4,1,2017-04-09,Estadio de Gran Canaria,Las Palmas de Gran Canaria,Sánchez Martínez,LAS PALMAS,19.7125,0.0
6386,Osasuna,Leganés,2,1,2017-04-09,Estadio El Sadar,Pamplona,Ocón Arraiz,NAVARRA,15.620000000000001,0.0
6387,Celta de Vigo,Eibar,0,2,2017-04-09,Balaidos,Vigo,Munuera Montero,PONTEVEDRA,18.5,0.0
6388,Real Sociedad,Sporting de Gijón,3,1,2017-04-10,Anoeta,San Sebastián,González González,GIPUZKOA,13.916666666666666,0.0
